player_id,version,name,full_name,description,image,height_cm,weight_kg,dob,positions,overall_rating,potential,value,wage,preferred_foot,weak_foot,skill_moves,international_reputation,body_type,real_face,release_clause,specialities,club_id,club_name,club_league_id,club_league_name,club_logo,club_rating,club_position,club_kit_number,club_joined,club_contract_valid_until,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_vision,mentality_penalties,mentality_composure,defending_defensive_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_gk_diving,goalkeeping_gk_handling,goalkeeping_gk_kicking,goalkeeping_gk_positioning,goalkeeping_gk_reflexes,url,mentality_attack_position
77951,FC 26,S. Kabini,Samukele Kabini,"Samukele Kabini (Samukele Alucious Kabini, born 15 March 2004) is a South African soccer player who plays as a left back for Norwegian club Molde FK. In the game FC 26, his overall rating is 63.",https://cdn.sofifa.net/players/077/951/26_360.png,181,72,2004-03-15,"LB, CB",63,75,1100000,1000,Left,3,2,1,Normal (170-185),No,1600000,,417,Molde FK,41,Eliteserien,https://cdn.sofifa.net/meta/team/290/30.png,5,LB,26,"Mar 20, 2025",2028,58,25,62,58,31,59,44,28,54,63,70,72,57,58,65,31,69,63,60,25,56,59,52,40,54,57,60,59,12,15,6,10,5,https://sofifa.com/player/77951/samukele-kabini/260010/,51
79999,FC 26,Andrés Campos,Andrés Campos Bautista,"Andrés Campos (born 14 May 2002) is a Spanish footballer who plays as a left winger for Spanish club CD Leganés. In the game FC 26, his overall rating is 63.",https://cdn.sofifa.net/players/079/999/26_360.png,178,74,2002-05-14,"LW, LM",63,72,1100000,3000,Left,3,3,1,Normal (170-185),No,2000000,,100888,CD Leganés,54,La Liga 2,https://cdn.sofifa.net/meta/team/844/30.png,5,RES,21,"Jun 26, 2025",2027,65,62,57,63,57,68,60,52,60,64,64,67,61,49,65,61,64,62,61,58,45,27,58,62,55,23,38,30,7,12,15,14,6,https://sofifa.com/player/79999/andres-campos-bautista/260010/,61
76672,FC 26,D. Ljung,Daniel Ljung,"Daniel Ljung (Daniel Birger Ljung, born 29 November 1998) is a Swedish footballer who plays as a center midfield for Swedish club Östers IF. In the game FC 26, his overall rating is 63.",https://cdn.sofifa.net/players/076/672/26_360.png,182,75,1998-11-29,"CM, LW, CAM",63,66,625000,1000,Right,3,2,1,Lean (170-185),No,828000,,1870,Östers IF,56,Allsvenskan,https://cdn.sofifa.net/meta/team/2876/30.png,5,LW,18,"Jan 8, 2023",2025,55,61,45,65,44,60,38,44,64,63,62,63,58,63,63,56,54,64,58,57,59,62,62,39,59,42,61,57,9,7,5,6,10,https://sofifa.com/player/76672/daniel-ljung/260010/,63
78720,FC 26,Iker Varela,Iker Varela Parra,"Iker Varela (born 1 March 2003) is a Spanish footballer who plays as a left midfield for Spanish club CD Mirandés, on loan from Athletic Club. In the game FC 26, his overall rating is 63.",https://cdn.sofifa.net/players/078/720/26_360.png,188,78,2003-03-01,"LM, LW, ST",63,72,1100000,8000,Right,4,3,1,Lean (185+),No,,,110069,CD Mirandés,54,La Liga 2,https://cdn.sofifa.net/meta/team/6968/30.png,5,LS,7,,"Jun 30, 2026",63,67,60,65,60,60,60,50,61,66,62,62,58,56,55,66,68,65,66,60,53,38,54,57,54,28,28,26,14,7,13,12,10,https://sofifa.com/player/78720/iker-varela-parra/260010/,64
278912,FC 26,J. Brandes,Julian Brandes,"Julian Brandes (Julian Christiaan Brandes, born 11 May 2004) is a Dutch footballer who plays as a central defensive midfielder for Italian club Pescara. In the game FC 26, his overall rating is 63.",https://cdn.sofifa.net/players/278/912/26_360.png,177,75,2004-05-11,"CDM, CB, CM",63,76,1100000,650,Right,3,3,1,Normal (170-185),No,2400000,,200,Pescara,32,Serie B,https://cdn.sofifa.net/meta/team/1343/30.png,5,SUB,5,"Aug 20, 2025",2026,58,43,51,68,39,63,60,42,64,66,66,62,65,62,74,48,59,61,59,43,56,61,59,40,69,61,62,56,9,8,11,13,9,https://sofifa.com/player/278912/julian-brandes/260010/,48
279168,FC 26,S. Beltrán,Santiago Beltrán,"Santiago Beltrán (born 4 October 2004) is an Argentine footballer who plays as a goalkeeper for Argentine club River Plate. In the game FC 26, his overall rating is 63.",https://cdn.sofifa.net/players/279/168/26_360.png,190,85,2004-10-04,GK,63,73,900000,2000,Left,3,1,1,Normal (185+),No,1400000,,1876,River Plate,353,Liga Profesional de Fútbol,https://cdn.sofifa.net/meta/team/10002/30.png,5,RES,41,"Jan 10, 2024",2027,11,8,16,27,11,11,12,10,26,19,44,45,41,62,35,45,66,32,74,9,28,18,32,18,37,11,9,11,64,59,60,62,65,https://sofifa.com/player/279168/santiago-beltran/260010/,7
266113,FC 26,N. Mäenpää,Niilo Mäenpää,"Niilo Mäenpää (born 14 January 1998) is a Finnish footballer who plays as a left winger for Swedish club Halmstads BK. In the game FC 26, his overall rating is 63.",https://cdn.sofifa.net/players/266/113/26_360.png,182,75,1998-01-14,"LW, CM, LM",63,63,500000,1000,Right,2,3,1,Normal (170-185),No,625000,,321,Halmstads BK,56,Allsvenskan,https://cdn.sofifa.net/meta/team/720/30.png,5,LW,8,"Jul 15, 2024",2026,59,56,61,65,37,58,58,42,62,63,68,76,69,68,61,54,71,73,69,57,59,58,65,41,67,53,58,53,7,6,14,14,8,https://sofifa.com/player/266113/niilo-maenpaa/260010/,60
272769,FC 26,N. Schiks,Niek Schiks,"Niek Schiks (born 3 February 2004) is a Dutch footballer who plays as a goalkeeper for Dutch club PSV. In the game FC 26, his overall rating is 63.",https://cdn.sofifa.net/players/272/769/26_360.png,188,73,2004-02-03,GK,63,74,925000,2000,Left,2,1,1,Stocky (185+),No,1500000,,247,PSV,10,Eredivisie,https://cdn.sofifa.net/meta/team/682/30.png,5,SUB,24,"Oct 30, 2022",2027,14,8,13,29,8,14,13,12,24,10,16,22,29,58,39,47,45,25,51,6,18,11,24,12,37,8,10,10,63,62,63,64,60,https://sofifa.com/player/272769/niek-schiks/260010/,6
277377,FC 26,C. Micovschi,Claudiu Micovschi,"Claudiu Micovschi (Claudiu Valentin Micovschi, born 19 May 1999) is a Romanian footballer who plays as a left winger for Romanian club Rapid Bucuresti. In the game FC 26, his overall rating is 63.",https://cdn.sofifa.net/players/277/377/26_360.png,180,72,1999-05-19,"LW, LM, RM",63,64,575000,2000,Left,3,3,1,Normal (170-185),No,819000,,310,Rapid Bucuresti,330,Liga I,https://cdn.sofifa.net/meta/team/7773/30.png,5,RES,99,"Aug 3, 2023",2027,60,61,43,61,57,62,61,55,52,62,78,78,76,62,74,62,59,70,58,56,54,39,56,51,59,42,40,35,7,5,5,7,13,https://sofifa.com/player/277377/claudiu-micovschi/260010/,60
262530,FC 26,A. Thomas,Andrew Thomas,"Andrew Thomas (Andrew Delmos Thomas, born 1 September 1998) is a Russian footballer who plays as a goalkeeper for American club Seattle Sounders FC. In the game FC 26, his overall rating is 63.",https://cdn.sofifa.net/players/262/530/26_360.png,188,82,1998-09-01,GK,63,67,525000,1000,Right,2,1,1,Stocky (185+),No,827000,,111144,Seattle Sounders FC,39,Major League Soccer,https://cdn.sofifa.net/meta/team/2649/30.png,5,SUB,26,"May 21, 2021",2025,12,9,13,21,5,9,13,12,25,14,32,36,36,50,40,45,58,17,68,5,26,15,55,15,40,5,13,13,64,64,60,62,64,https://sofifa.com/player/262530/andrew-thomas/260010/,5
74370,FC 26,A. Bassinga,Aboubacar Bassinga,"Aboubacar Bassinga (born 13 July 2005) is an Ivorian footballer who plays as a center midfield for Spanish club AD Ceuta FC, on loan from UD Las Palmas. In the game FC 26, his overall rating is 63.",https://cdn.sofifa.net/players/074/370/26_360.png,178,70,2005-07-13,"CM, CAM, CDM",63,79,1200000,1000,Left,3,4,1,Normal (170-185),No,,,1894,AD Ceuta FC,54,La Liga 2,https://cdn.sofifa.net/meta/team/12330/30.png,5,SUB,26,,"Jun 30, 2026",56,57,51,65,44,68,58,45,58,68,65,75,80,62,70,67,62,63,65,62,54,53,65,49,63,52,56,59,13,10,8,14,11,https://sofifa.com/player/74370/aboubacar-bassinga/260010/,65
279426,FC 26,L. Brunskillus,Lachlan Brunskillus,"Lachlan Brunskillus (born 29 February 1996) is an Australian soccer player who plays as a left winger for Australian club Western United. In the game FC 26, his overall rating is 63.",https://cdn.sofifa.net/players/279/426/26_360.png,180,69,1996-02-29,"LW, LM",63,63,475000,1000,Left,3,3,1,Normal (170-185),No,594000,,114023,Western United,351,A-League Men,https://cdn.sofifa.net/meta/team/238265/30.png,5,SUB,8,"Aug 18, 2023",2027,54,63,44,65,56,62,60,43,60,61,71,73,74,60,69,58,52,75,53,56,51,23,65,46,60,34,40,45,7,7,10,5,14,https://sofifa.com/player/279426/lachlan-brunskillus/260010/,63
